study,model,rank,emotion,f1
component,Query,64.0,fear,0.6845637583892618
component,Query,64.0,gratitude,0.9286754002911208
component,Query,64.0,joy,0.6491803278688525
component,Query,64.0,love,0.8058455114822547
component,Query,64.0,optimism,0.5760517799352751
component,Query,64.0,realization,0.27860696517412936
component,Query,64.0,remorse,0.6837606837606838
component,Query,64.0,sadness,0.6058394160583942
component,Query,64.0,surprise,0.5645161290322581
component,Key,256.0,admiration,0.7479674796747967
component,Key,256.0,amusement,0.8549905838041432
component,Key,256.0,anger,0.5632183908045977
component,Key,256.0,annoyance,0.4156378600823045
component,Key,256.0,approval,0.557632398753894
component,Key,256.0,caring,0.5232067510548524
component,Key,256.0,confusion,0.4908424908424908
component,Key,256.0,curiosity,0.6970802919708029
component,Key,256.0,desire,0.5238095238095238
component,Key,256.0,disappointment,0.26595744680851063
component,Key,256.0,disapproval,0.5294117647058824
component,Key,256.0,disgust,0.5054945054945055
component,Key,256.0,embarrassment,0.3181818181818182
component,Key,256.0,excitement,0.4691358024691358
component,Key,256.0,fear,0.6967741935483871
component,Key,256.0,gratitude,0.930635838150289
component,Key,256.0,joy,0.6254295532646048
component,Key,256.0,love,0.8132780082987552
component,Key,256.0,optimism,0.5652173913043478
component,Key,256.0,realization,0.2755102040816326
component,Key,256.0,remorse,0.6942148760330579
component,Key,256.0,sadness,0.6222222222222222
component,Key,256.0,surprise,0.5658914728682171
component,Key,128.0,admiration,0.7434869739478958
component,Key,128.0,amusement,0.839924670433145
component,Key,128.0,anger,0.5304878048780488
component,Key,128.0,annoyance,0.4049079754601227
component,Key,128.0,approval,0.5396341463414634
component,Key,128.0,caring,0.49122807017543857
component,Key,128.0,confusion,0.4701492537313433
component,Key,128.0,curiosity,0.6877323420074349
component,Key,128.0,desire,0.5511811023622047
component,Key,128.0,disappointment,0.2391304347826087
component,Key,128.0,disapproval,0.5299145299145299
component,Key,128.0,disgust,0.5111111111111111
component,Key,128.0,embarrassment,0.2727272727272727
component,Key,128.0,excitement,0.475
component,Key,128.0,fear,0.7051282051282052
component,Key,128.0,gratitude,0.9290882778581766
component,Key,128.0,joy,0.6101694915254238
component,Key,128.0,love,0.8134171907756813
component,Key,128.0,optimism,0.5537459283387622
component,Key,128.0,realization,0.29591836734693877
component,Key,128.0,remorse,0.6724137931034483
component,Key,128.0,sadness,0.6194029850746269
component,Key,128.0,surprise,0.5680933852140078
component,Key,64.0,admiration,0.7297297297297297
component,Key,64.0,amusement,0.8311195445920304
component,Key,64.0,anger,0.5077399380804953
component,Key,64.0,annoyance,0.4155339805825243
component,Key,64.0,approval,0.5535714285714286
component,Key,64.0,caring,0.49122807017543857
component,Key,64.0,confusion,0.464
component,Key,64.0,curiosity,0.6802973977695167
component,Key,64.0,desire,0.5669291338582677
component,Key,64.0,disappointment,0.25668449197860965
component,Key,64.0,disapproval,0.49887640449438203
component,Key,64.0,disgust,0.5139664804469274
component,Key,64.0,embarrassment,0.23255813953488372
component,Key,64.0,excitement,0.49079754601226994
component,Key,64.0,fear,0.7066666666666667
component,Key,64.0,gratitude,0.9277456647398844
component,Key,64.0,joy,0.618421052631579
component,Key,64.0,love,0.8077753779697624
component,Key,64.0,optimism,0.5241379310344828
component,Key,64.0,realization,0.27411167512690354
component,Key,64.0,remorse,0.672566371681416
component,Key,64.0,sadness,0.6096654275092936
component,Key,64.0,surprise,0.5770750988142292
component,Value,256.0,admiration,0.744138634046891
component,Value,256.0,amusement,0.8494208494208494
component,Value,256.0,anger,0.5
component,Value,256.0,annoyance,0.30205949656750575
component,Value,256.0,approval,0.534923339011925
component,Value,256.0,caring,0.46
component,Value,256.0,confusion,0.5060240963855421
component,Value,256.0,curiosity,0.6924493554327809
component,Value,256.0,desire,0.5555555555555556
component,Value,256.0,disappointment,0.2185792349726776
component,Value,256.0,disapproval,0.5142857142857142
component,Value,256.0,disgust,0.42857142857142855
component,Value,256.0,embarrassment,0.0
component,Value,256.0,excitement,0.47674418604651164
component,Value,256.0,fear,0.6891891891891891
component,Value,256.0,gratitude,0.9246676514032496
component,Value,256.0,joy,0.5942028985507246
component,Value,256.0,love,0.8017241379310345
component,Value,256.0,optimism,0.5935483870967742
component,Value,256.0,realization,0.22598870056497175
component,Value,256.0,remorse,0.6153846153846154
component,Value,256.0,sadness,0.6083650190114068
component,Value,256.0,surprise,0.5779467680608364
component,Value,128.0,admiration,0.6845794392523364
component,Value,128.0,amusement,0.71875
component,Value,128.0,anger,0.2077922077922078
component,Value,128.0,annoyance,0.12256267409470752
component,Value,128.0,approval,0.4541984732824427
component,Value,128.0,caring,0.2994011976047904
component,Value,128.0,confusion,0.3036649214659686
component,Value,128.0,curiosity,0.5745614035087719
component,Value,128.0,desire,0.4036697247706422
component,Value,128.0,disappointment,0.09696969696969697
component,Value,128.0,disapproval,0.3551912568306011
component,Value,128.0,disgust,0.20437956204379562
component,Value,128.0,embarrassment,0.0
component,Value,128.0,excitement,0.2809917355371901
component,Value,128.0,fear,0.6716417910447762
component,Value,128.0,gratitude,0.8978328173374613
component,Value,128.0,joy,0.5043478260869565
component,Value,128.0,love,0.6855670103092784
component,Value,128.0,optimism,0.5089605734767025
component,Value,128.0,realization,0.07894736842105263
component,Value,128.0,remorse,0.0
component,Value,128.0,sadness,0.5022421524663677
component,Value,128.0,surprise,0.5363636363636364
component,Value,64.0,admiration,0.23793103448275862
component,Value,64.0,amusement,0.029850746268656716
component,Value,64.0,anger,0.0
component,Value,64.0,annoyance,0.0
component,Value,64.0,approval,0.0113314447592068
component,Value,64.0,caring,0.014705882352941176
component,Value,64.0,confusion,0.0
component,Value,64.0,curiosity,0.006993006993006993
component,Value,64.0,desire,0.0
component,Value,64.0,disappointment,0.0
component,Value,64.0,disapproval,0.0
component,Value,64.0,disgust,0.0
component,Value,64.0,embarrassment,0.0
component,Value,64.0,excitement,0.0
component,Value,64.0,fear,0.0
component,Value,64.0,gratitude,0.3816091954022989
component,Value,64.0,joy,0.0
component,Value,64.0,love,0.0
component,Value,64.0,optimism,0.0
component,Value,64.0,realization,0.0
component,Value,64.0,remorse,0.0
component,Value,64.0,sadness,0.05
component,Value,64.0,surprise,0.0
component,Attn_Output,256.0,admiration,0.7417355371900827
component,Attn_Output,256.0,amusement,0.8488372093023255
component,Attn_Output,256.0,anger,0.5337423312883436
component,Attn_Output,256.0,annoyance,0.4212678936605317
component,Attn_Output,256.0,approval,0.5034965034965035
component,Attn_Output,256.0,caring,0.5232067510548524
component,Attn_Output,256.0,confusion,0.5
component,Attn_Output,256.0,curiosity,0.6518218623481782
component,Attn_Output,256.0,desire,0.5042016806722689
component,Attn_Output,256.0,disappointment,0.25
component,Attn_Output,256.0,disapproval,0.4918793503480278
component,Attn_Output,256.0,disgust,0.4883720930232558
component,Attn_Output,256.0,embarrassment,0.10256410256410256
component,Attn_Output,256.0,excitement,0.4316546762589928
component,Attn_Output,256.0,fear,0.6805555555555556
component,Attn_Output,256.0,gratitude,0.9239940387481371
component,Attn_Output,256.0,joy,0.5855513307984791
component,Attn_Output,256.0,love,0.7910112359550562
component,Attn_Output,256.0,optimism,0.49454545454545457
component,Attn_Output,256.0,realization,0.23333333333333334
component,Attn_Output,256.0,remorse,0.3684210526315789
component,Attn_Output,256.0,sadness,0.5772357723577236
component,Attn_Output,256.0,surprise,0.5867768595041323
component,Attn_Output,128.0,admiration,0.6118251928020566
component,Attn_Output,128.0,amusement,0.6060606060606061
component,Attn_Output,128.0,anger,0.2845528455284553
component,Attn_Output,128.0,annoyance,0.2981651376146789
component,Attn_Output,128.0,approval,0.4243614931237721
component,Attn_Output,128.0,caring,0.4175824175824176
component,Attn_Output,128.0,confusion,0.44144144144144143
component,Attn_Output,128.0,curiosity,0.25595238095238093
component,Attn_Output,128.0,desire,0.0
component,Attn_Output,128.0,disappointment,0.0
component,Attn_Output,128.0,disapproval,0.11846689895470383
component,Attn_Output,128.0,disgust,0.20437956204379562
component,Attn_Output,128.0,embarrassment,0.0
component,Attn_Output,128.0,excitement,0.23931623931623933
component,Attn_Output,128.0,fear,0.628099173553719
component,Attn_Output,128.0,gratitude,0.848780487804878
component,Attn_Output,128.0,joy,0.45454545454545453
component,Attn_Output,128.0,love,0.6033519553072626
component,Attn_Output,128.0,optimism,0.26605504587155965
component,Attn_Output,128.0,realization,0.13836477987421383
component,Attn_Output,128.0,remorse,0.0
component,Attn_Output,128.0,sadness,0.2057142857142857
component,Attn_Output,128.0,surprise,0.43434343434343436
component,Attn_Output,64.0,admiration,0.0
component,Attn_Output,64.0,amusement,0.0
component,Attn_Output,64.0,anger,0.0
component,Attn_Output,64.0,annoyance,0.06997084548104957
component,Attn_Output,64.0,approval,0.01694915254237288
component,Attn_Output,64.0,caring,0.0
component,Attn_Output,64.0,confusion,0.038461538461538464
component,Attn_Output,64.0,curiosity,0.0
component,Attn_Output,64.0,desire,0.0
component,Attn_Output,64.0,disappointment,0.0
component,Attn_Output,64.0,disapproval,0.0
component,Attn_Output,64.0,disgust,0.016129032258064516
component,Attn_Output,64.0,embarrassment,0.0
component,Attn_Output,64.0,excitement,0.0
component,Attn_Output,64.0,fear,0.0
component,Attn_Output,64.0,gratitude,0.19023136246786632
component,Attn_Output,64.0,joy,0.0
component,Attn_Output,64.0,love,0.0
component,Attn_Output,64.0,optimism,0.0
component,Attn_Output,64.0,realization,0.0
component,Attn_Output,64.0,remorse,0.0
component,Attn_Output,64.0,sadness,0.0
component,Attn_Output,64.0,surprise,0.0
component,FFN_Inter,256.0,admiration,0.5400271370420624
component,FFN_Inter,256.0,amusement,0.7777777777777778
component,FFN_Inter,256.0,anger,0.35424354243542433
component,FFN_Inter,256.0,annoyance,0.23963133640552994
component,FFN_Inter,256.0,approval,0.40429338103756707
component,FFN_Inter,256.0,caring,0.15894039735099338
component,FFN_Inter,256.0,confusion,0.297029702970297
component,FFN_Inter,256.0,curiosity,0.3081081081081081
component,FFN_Inter,256.0,desire,0.13333333333333333
component,FFN_Inter,256.0,disappointment,0.0
component,FFN_Inter,256.0,disapproval,0.390745501285347
component,FFN_Inter,256.0,disgust,0.06299212598425197
component,FFN_Inter,256.0,embarrassment,0.0
component,FFN_Inter,256.0,excitement,0.11009174311926606
component,FFN_Inter,256.0,fear,0.05
component,FFN_Inter,256.0,gratitude,0.9215116279069767
component,FFN_Inter,256.0,joy,0.42342342342342343
component,FFN_Inter,256.0,love,0.7991360691144709
component,FFN_Inter,256.0,optimism,0.3967611336032389
component,FFN_Inter,256.0,realization,0.0
component,FFN_Inter,256.0,remorse,0.0
component,FFN_Inter,256.0,sadness,0.35175879396984927
component,FFN_Inter,256.0,surprise,0.11842105263157894
component,FFN_Inter,128.0,admiration,0.03125
component,FFN_Inter,128.0,amusement,0.007547169811320755
component,FFN_Inter,128.0,anger,0.0
component,FFN_Inter,128.0,annoyance,0.0
component,FFN_Inter,128.0,approval,0.16
component,FFN_Inter,128.0,caring,0.0
component,FFN_Inter,128.0,confusion,0.0
component,FFN_Inter,128.0,curiosity,0.0
component,FFN_Inter,128.0,desire,0.0
component,FFN_Inter,128.0,disappointment,0.0
component,FFN_Inter,128.0,disapproval,0.0
component,FFN_Inter,128.0,disgust,0.0
component,FFN_Inter,128.0,embarrassment,0.0
component,FFN_Inter,128.0,excitement,0.0
component,FFN_Inter,128.0,fear,0.0
component,FFN_Inter,128.0,gratitude,0.32779097387173395
component,FFN_Inter,128.0,joy,0.0
component,FFN_Inter,128.0,love,0.38127090301003347
component,FFN_Inter,128.0,optimism,0.0
component,FFN_Inter,128.0,realization,0.0
component,FFN_Inter,128.0,remorse,0.0
component,FFN_Inter,128.0,sadness,0.012738853503184714
component,FFN_Inter,128.0,surprise,0.0
component,FFN_Inter,64.0,admiration,0.0
component,FFN_Inter,64.0,amusement,0.0
component,FFN_Inter,64.0,anger,0.0
component,FFN_Inter,64.0,annoyance,0.0
component,FFN_Inter,64.0,approval,0.0
component,FFN_Inter,64.0,caring,0.0
component,FFN_Inter,64.0,confusion,0.0
component,FFN_Inter,64.0,curiosity,0.0
component,FFN_Inter,64.0,desire,0.0
component,FFN_Inter,64.0,disappointment,0.0
component,FFN_Inter,64.0,disapproval,0.0
component,FFN_Inter,64.0,disgust,0.0
component,FFN_Inter,64.0,embarrassment,0.0
component,FFN_Inter,64.0,excitement,0.0
component,FFN_Inter,64.0,fear,0.0
component,FFN_Inter,64.0,gratitude,0.0
component,FFN_Inter,64.0,joy,0.0
component,FFN_Inter,64.0,love,0.0
component,FFN_Inter,64.0,optimism,0.0
component,FFN_Inter,64.0,realization,0.0
component,FFN_Inter,64.0,remorse,0.0
component,FFN_Inter,64.0,sadness,0.0
component,FFN_Inter,64.0,surprise,0.0
component,FFN_Output,256.0,admiration,0.728421052631579
component,FFN_Output,256.0,amusement,0.84251968503937
component,FFN_Output,256.0,anger,0.4460431654676259
component,FFN_Output,256.0,annoyance,0.21188630490956073
component,FFN_Output,256.0,approval,0.47794117647058826
component,FFN_Output,256.0,caring,0.4148936170212766
component,FFN_Output,256.0,confusion,0.3842364532019704
component,FFN_Output,256.0,curiosity,0.5925925925925926
component,FFN_Output,256.0,desire,0.34615384615384615
component,FFN_Output,256.0,disappointment,0.08860759493670886
component,FFN_Output,256.0,disapproval,0.36464088397790057
component,FFN_Output,256.0,disgust,0.19117647058823528
component,FFN_Output,256.0,embarrassment,0.0
component,FFN_Output,256.0,excitement,0.2786885245901639
component,FFN_Output,256.0,fear,0.5321100917431193
component,FFN_Output,256.0,gratitude,0.9253294289897511
component,FFN_Output,256.0,joy,0.5403225806451613
component,FFN_Output,256.0,love,0.8163265306122449
component,FFN_Output,256.0,optimism,0.5236363636363637
component,FFN_Output,256.0,realization,0.14102564102564102
component,FFN_Output,256.0,remorse,0.15873015873015872
component,FFN_Output,256.0,sadness,0.5114155251141552
component,FFN_Output,256.0,surprise,0.42857142857142855
component,FFN_Output,128.0,admiration,0.45925925925925926
component,FFN_Output,128.0,amusement,0.35542168674698793
component,FFN_Output,128.0,anger,0.0
component,FFN_Output,128.0,annoyance,0.018575851393188854
component,FFN_Output,128.0,approval,0.07671232876712329
component,FFN_Output,128.0,caring,0.12413793103448276
component,FFN_Output,128.0,confusion,0.012987012987012988
component,FFN_Output,128.0,curiosity,0.007017543859649123
component,FFN_Output,128.0,desire,0.0
component,FFN_Output,128.0,disappointment,0.0
component,FFN_Output,128.0,disapproval,0.0
component,FFN_Output,128.0,disgust,0.0
component,FFN_Output,128.0,embarrassment,0.0
component,FFN_Output,128.0,excitement,0.0
component,FFN_Output,128.0,fear,0.0
component,FFN_Output,128.0,gratitude,0.8978328173374613
component,FFN_Output,128.0,joy,0.0718562874251497
component,FFN_Output,128.0,love,0.7458432304038005
component,FFN_Output,128.0,optimism,0.0
component,FFN_Output,128.0,realization,0.0
component,FFN_Output,128.0,remorse,0.0
component,FFN_Output,128.0,sadness,0.17341040462427745
component,FFN_Output,128.0,surprise,0.0
component,FFN_Output,64.0,admiration,0.0
component,FFN_Output,64.0,amusement,0.0
component,FFN_Output,64.0,anger,0.0
component,FFN_Output,64.0,annoyance,0.0
component,FFN_Output,64.0,approval,0.0
component,FFN_Output,64.0,caring,0.0
component,FFN_Output,64.0,confusion,0.0
component,FFN_Output,64.0,curiosity,0.0
component,FFN_Output,64.0,desire,0.0
component,FFN_Output,64.0,disappointment,0.0
component,FFN_Output,64.0,disapproval,0.0
component,FFN_Output,64.0,disgust,0.0
component,FFN_Output,64.0,embarrassment,0.0
component,FFN_Output,64.0,excitement,0.0
component,FFN_Output,64.0,fear,0.0
component,FFN_Output,64.0,gratitude,0.0
component,FFN_Output,64.0,joy,0.0
component,FFN_Output,64.0,love,0.0
component,FFN_Output,64.0,optimism,0.0
component,FFN_Output,64.0,realization,0.0
component,FFN_Output,64.0,remorse,0.0
component,FFN_Output,64.0,sadness,0.0
component,FFN_Output,64.0,surprise,0.0
component,Attention_All,256.0,admiration,0.7342582710779082
component,Attention_All,256.0,amusement,0.8232931726907631
component,Attention_All,256.0,anger,0.4244604316546763
component,Attention_All,256.0,annoyance,0.29314420803782504
component,Attention_All,256.0,approval,0.5079928952042628
component,Attention_All,256.0,caring,0.5142857142857142
component,Attention_All,256.0,confusion,0.4892703862660944
component,Attention_All,256.0,curiosity,0.5864332603938731
component,Attention_All,256.0,desire,0.47368421052631576
component,Attention_All,256.0,disappointment,0.18285714285714286
component,Attention_All,256.0,disapproval,0.4304461942257218
component,Attention_All,256.0,disgust,0.35526315789473684
component,Attention_All,256.0,embarrassment,0.0
component,Attention_All,256.0,excitement,0.3816793893129771
component,Attention_All,256.0,fear,0.6906474820143885
component,Attention_All,256.0,gratitude,0.9141104294478528
component,Attention_All,256.0,joy,0.5905511811023622
component,Attention_All,256.0,love,0.7111111111111111
component,Attention_All,256.0,optimism,0.4268774703557312
component,Attention_All,256.0,realization,0.22093023255813954
component,Attention_All,256.0,remorse,0.15873015873015872
component,Attention_All,256.0,sadness,0.5803921568627451
component,Attention_All,256.0,surprise,0.5822784810126582
component,Attention_All,128.0,admiration,0.011811023622047244
component,Attention_All,128.0,amusement,0.007518796992481203
component,Attention_All,128.0,anger,0.0
component,Attention_All,128.0,annoyance,0.0
component,Attention_All,128.0,approval,0.15064935064935064
component,Attention_All,128.0,caring,0.0851063829787234
component,Attention_All,128.0,confusion,0.0
component,Attention_All,128.0,curiosity,0.0
component,Attention_All,128.0,desire,0.0
component,Attention_All,128.0,disappointment,0.0
component,Attention_All,128.0,disapproval,0.0
component,Attention_All,128.0,disgust,0.0
component,Attention_All,128.0,embarrassment,0.0
component,Attention_All,128.0,excitement,0.0
component,Attention_All,128.0,fear,0.05
component,Attention_All,128.0,gratitude,0.0921409214092141
component,Attention_All,128.0,joy,0.024539877300613498
component,Attention_All,128.0,love,0.10358565737051793
component,Attention_All,128.0,optimism,0.0
component,Attention_All,128.0,realization,0.0
component,Attention_All,128.0,remorse,0.0
component,Attention_All,128.0,sadness,0.07407407407407407
component,Attention_All,128.0,surprise,0.014084507042253521
component,Attention_All,64.0,admiration,0.0
component,Attention_All,64.0,amusement,0.0
component,Attention_All,64.0,anger,0.017094017094017096
component,Attention_All,64.0,annoyance,0.011111111111111112
component,Attention_All,64.0,approval,0.016172506738544475
component,Attention_All,64.0,caring,0.046242774566473986
component,Attention_All,64.0,confusion,0.010810810810810811
component,Attention_All,64.0,curiosity,0.0
component,Attention_All,64.0,desire,0.0
component,Attention_All,64.0,disappointment,0.0546448087431694
component,Attention_All,64.0,disapproval,0.027303754266211604
component,Attention_All,64.0,disgust,0.013513513513513514
component,Attention_All,64.0,embarrassment,0.056338028169014086
component,Attention_All,64.0,excitement,0.0
component,Attention_All,64.0,fear,0.01904761904761905
component,Attention_All,64.0,gratitude,0.0
component,Attention_All,64.0,joy,0.011299435028248588
component,Attention_All,64.0,love,0.015503875968992248
component,Attention_All,64.0,optimism,0.009852216748768473
component,Attention_All,64.0,realization,0.011363636363636364
component,Attention_All,64.0,remorse,0.0
component,Attention_All,64.0,sadness,0.010752688172043012
component,Attention_All,64.0,surprise,0.0
component,FFN_All,256.0,admiration,0.27906976744186046
component,FFN_All,256.0,amusement,0.3525835866261398
component,FFN_All,256.0,anger,0.04926108374384237
component,FFN_All,256.0,annoyance,0.018575851393188854
component,FFN_All,256.0,approval,0.07123287671232877
component,FFN_All,256.0,caring,0.014705882352941176
component,FFN_All,256.0,confusion,0.012987012987012988
component,FFN_All,256.0,curiosity,0.020905923344947737
component,FFN_All,256.0,desire,0.0
component,FFN_All,256.0,disappointment,0.0
component,FFN_All,256.0,disapproval,0.0
component,FFN_All,256.0,disgust,0.0
component,FFN_All,256.0,embarrassment,0.0
component,FFN_All,256.0,excitement,0.0
component,FFN_All,256.0,fear,0.0
component,FFN_All,256.0,gratitude,0.8878504672897196
component,FFN_All,256.0,joy,0.012345679012345678
component,FFN_All,256.0,love,0.7211538461538461
component,FFN_All,256.0,optimism,0.02127659574468085
component,FFN_All,256.0,realization,0.0
component,FFN_All,256.0,remorse,0.0
component,FFN_All,256.0,sadness,0.12048192771084337
component,FFN_All,256.0,surprise,0.0
component,FFN_All,128.0,admiration,0.0
component,FFN_All,128.0,amusement,0.0
component,FFN_All,128.0,anger,0.0
component,FFN_All,128.0,annoyance,0.0
component,FFN_All,128.0,approval,0.0
component,FFN_All,128.0,caring,0.0
component,FFN_All,128.0,confusion,0.0
component,FFN_All,128.0,curiosity,0.0
component,FFN_All,128.0,desire,0.0
component,FFN_All,128.0,disappointment,0.0
component,FFN_All,128.0,disapproval,0.0
component,FFN_All,128.0,disgust,0.0
component,FFN_All,128.0,embarrassment,0.0
component,FFN_All,128.0,excitement,0.0
component,FFN_All,128.0,fear,0.0
component,FFN_All,128.0,gratitude,0.0056657223796034
component,FFN_All,128.0,joy,0.0
component,FFN_All,128.0,love,0.008368200836820083
component,FFN_All,128.0,optimism,0.0
component,FFN_All,128.0,realization,0.0
component,FFN_All,128.0,remorse,0.0
component,FFN_All,128.0,sadness,0.0
component,FFN_All,128.0,surprise,0.0
component,FFN_All,64.0,admiration,0.0
component,FFN_All,64.0,amusement,0.0
component,FFN_All,64.0,anger,0.0
component,FFN_All,64.0,annoyance,0.0
component,FFN_All,64.0,approval,0.0
component,FFN_All,64.0,caring,0.0
component,FFN_All,64.0,confusion,0.0
component,FFN_All,64.0,curiosity,0.0
component,FFN_All,64.0,desire,0.0
component,FFN_All,64.0,disappointment,0.0
component,FFN_All,64.0,disapproval,0.0
component,FFN_All,64.0,disgust,0.0
component,FFN_All,64.0,embarrassment,0.0
component,FFN_All,64.0,excitement,0.0
component,FFN_All,64.0,fear,0.0
component,FFN_All,64.0,gratitude,0.0
component,FFN_All,64.0,joy,0.0
component,FFN_All,64.0,love,0.0
component,FFN_All,64.0,optimism,0.0
component,FFN_All,64.0,realization,0.0
component,FFN_All,64.0,remorse,0.0
component,FFN_All,64.0,sadness,0.0
component,FFN_All,64.0,surprise,0.0
depth,Early (0-3),256.0,admiration,0.7004048582995951
depth,Early (0-3),256.0,amusement,0.7245762711864406
depth,Early (0-3),256.0,anger,0.5161290322580645
depth,Early (0-3),256.0,annoyance,0.2903225806451613
depth,Early (0-3),256.0,approval,0.468013468013468
depth,Early (0-3),256.0,caring,0.3314285714285714
depth,Early (0-3),256.0,confusion,0.4844290657439446
depth,Early (0-3),256.0,curiosity,0.5207877461706784
depth,Early (0-3),256.0,desire,0.5116279069767442
depth,Early (0-3),256.0,disappointment,0.2358974358974359
depth,Early (0-3),256.0,disapproval,0.48828125
depth,Early (0-3),256.0,disgust,0.41975308641975306
depth,Early (0-3),256.0,embarrassment,0.0
depth,Early (0-3),256.0,excitement,0.4235294117647059
depth,Early (0-3),256.0,fear,0.6299212598425197
depth,Early (0-3),256.0,gratitude,0.9169054441260746
depth,Early (0-3),256.0,joy,0.6283783783783784
depth,Early (0-3),256.0,love,0.804642166344294
depth,Early (0-3),256.0,optimism,0.5034013605442177
depth,Early (0-3),256.0,realization,0.20809248554913296
depth,Early (0-3),256.0,remorse,0.6078431372549019
depth,Early (0-3),256.0,sadness,0.47058823529411764
depth,Early (0-3),256.0,surprise,0.4434782608695652
depth,Early (0-3),128.0,admiration,0.583743842364532
depth,Early (0-3),128.0,amusement,0.5323741007194245
depth,Early (0-3),128.0,anger,0.3680555555555556
depth,Early (0-3),128.0,annoyance,0.1989795918367347
depth,Early (0-3),128.0,approval,0.37888198757763975
depth,Early (0-3),128.0,caring,0.21951219512195122
depth,Early (0-3),128.0,confusion,0.3295880149812734
depth,Early (0-3),128.0,curiosity,0.3316062176165803
depth,Early (0-3),128.0,desire,0.3018867924528302
depth,Early (0-3),128.0,disappointment,0.09195402298850575
depth,Early (0-3),128.0,disapproval,0.37701149425287356
depth,Early (0-3),128.0,disgust,0.2014388489208633
depth,Early (0-3),128.0,embarrassment,0.0
depth,Early (0-3),128.0,excitement,0.3487179487179487
depth,Early (0-3),128.0,fear,0.45045045045045046
depth,Early (0-3),128.0,gratitude,0.9020771513353115
depth,Early (0-3),128.0,joy,0.4626865671641791
depth,Early (0-3),128.0,love,0.7337278106508875
