strategy,emotion,f1
Uniform r=384,disgust,0.047619047619047616
Uniform r=384,embarrassment,0.0
Uniform r=384,excitement,0.14414414414414414
Uniform r=384,fear,0.14285714285714285
Uniform r=384,gratitude,0.9174041297935103
Uniform r=384,joy,0.3005181347150259
Uniform r=384,love,0.7713625866050808
Uniform r=384,optimism,0.29464285714285715
Uniform r=384,realization,0.0
Uniform r=384,remorse,0.0
Uniform r=384,sadness,0.33507853403141363
Uniform r=384,surprise,0.10666666666666667
Uniform r=256,admiration,0.007905138339920948
Uniform r=256,amusement,0.0
Uniform r=256,anger,0.0
Uniform r=256,annoyance,0.0
Uniform r=256,approval,0.0
Uniform r=256,caring,0.0
Uniform r=256,confusion,0.0
Uniform r=256,curiosity,0.0
Uniform r=256,desire,0.0
Uniform r=256,disappointment,0.0
Uniform r=256,disapproval,0.0
Uniform r=256,disgust,0.0
Uniform r=256,embarrassment,0.0
Uniform r=256,excitement,0.0
Uniform r=256,fear,0.0
Uniform r=256,gratitude,0.5544147843942505
Uniform r=256,joy,0.0
Uniform r=256,love,0.008368200836820083
Uniform r=256,optimism,0.0
Uniform r=256,realization,0.0
Uniform r=256,remorse,0.0
Uniform r=256,sadness,0.0
Uniform r=256,surprise,0.0
Uniform r=128,admiration,0.0
Uniform r=128,amusement,0.0
Uniform r=128,anger,0.0
Uniform r=128,annoyance,0.0
Uniform r=128,approval,0.0
Uniform r=128,caring,0.0
Uniform r=128,confusion,0.0
Uniform r=128,curiosity,0.0
Uniform r=128,desire,0.0
Uniform r=128,disappointment,0.0
Uniform r=128,disapproval,0.0
Uniform r=128,disgust,0.0
Uniform r=128,embarrassment,0.0
Uniform r=128,excitement,0.0
Uniform r=128,fear,0.0
Uniform r=128,gratitude,0.0
Uniform r=128,joy,0.0
Uniform r=128,love,0.0
Uniform r=128,optimism,0.0
Uniform r=128,realization,0.0
Uniform r=128,remorse,0.0
Uniform r=128,sadness,0.0
Uniform r=128,surprise,0.0
Uniform r=64,admiration,0.0
Uniform r=64,amusement,0.0
Uniform r=64,anger,0.0
Uniform r=64,annoyance,0.0
Uniform r=64,approval,0.0
Uniform r=64,caring,0.0
Uniform r=64,confusion,0.0
Uniform r=64,curiosity,0.0
Uniform r=64,desire,0.0
Uniform r=64,disappointment,0.0
Uniform r=64,disapproval,0.0
Uniform r=64,disgust,0.0
Uniform r=64,embarrassment,0.0
Uniform r=64,excitement,0.0
Uniform r=64,fear,0.0
Uniform r=64,gratitude,0.0
Uniform r=64,joy,0.0
Uniform r=64,love,0.0
Uniform r=64,optimism,0.0
Uniform r=64,realization,0.0
Uniform r=64,remorse,0.0
Uniform r=64,sadness,0.0
Uniform r=64,surprise,0.0
Adaptive 80%,admiration,0.2904841402337229
Adaptive 80%,amusement,0.5333333333333333
Adaptive 80%,anger,0.04854368932038835
Adaptive 80%,annoyance,0.006211180124223602
Adaptive 80%,approval,0.16020671834625322
Adaptive 80%,caring,0.11188811188811189
Adaptive 80%,confusion,0.1893491124260355
Adaptive 80%,curiosity,0.020905923344947737
Adaptive 80%,desire,0.0
Adaptive 80%,disappointment,0.0
Adaptive 80%,disapproval,0.01486988847583643
Adaptive 80%,disgust,0.0
Adaptive 80%,embarrassment,0.0
Adaptive 80%,excitement,0.0
Adaptive 80%,fear,0.05
Adaptive 80%,gratitude,0.8652931854199684
Adaptive 80%,joy,0.1878453038674033
Adaptive 80%,love,0.5250737463126843
Adaptive 80%,optimism,0.12871287128712872
Adaptive 80%,realization,0.0
Adaptive 80%,remorse,0.0
Adaptive 80%,sadness,0.1317365269461078
Adaptive 80%,surprise,0.027972027972027972
Adaptive 85%,admiration,0.5668016194331984
Adaptive 85%,amusement,0.767590618336887
Adaptive 85%,anger,0.2413793103448276
Adaptive 85%,annoyance,0.006230529595015576
Adaptive 85%,approval,0.2930232558139535
Adaptive 85%,caring,0.26993865030674846
Adaptive 85%,confusion,0.3005181347150259
Adaptive 85%,curiosity,0.2175226586102719
Adaptive 85%,desire,0.1702127659574468
Adaptive 85%,disappointment,0.0
Adaptive 85%,disapproval,0.08480565371024736
Adaptive 85%,disgust,0.047619047619047616
Adaptive 85%,embarrassment,0.0
Adaptive 85%,excitement,0.20869565217391303
Adaptive 85%,fear,0.14285714285714285
Adaptive 85%,gratitude,0.8992481203007519
Adaptive 85%,joy,0.3333333333333333
Adaptive 85%,love,0.6380697050938338
Adaptive 85%,optimism,0.2702702702702703
Adaptive 85%,realization,0.0
Adaptive 85%,remorse,0.0
Adaptive 85%,sadness,0.3010752688172043
Adaptive 85%,surprise,0.2236024844720497
Adaptive 90%,admiration,0.6836027713625866
Adaptive 90%,amusement,0.8441814595660749
Adaptive 90%,anger,0.344
Adaptive 90%,annoyance,0.07142857142857142
Adaptive 90%,approval,0.36942675159235666
Adaptive 90%,caring,0.3954802259887006
Adaptive 90%,confusion,0.3681592039800995
Adaptive 90%,curiosity,0.3076923076923077
Adaptive 90%,desire,0.2268041237113402
Adaptive 90%,disappointment,0.0
Adaptive 90%,disapproval,0.1830065359477124
Adaptive 90%,disgust,0.24285714285714285
Adaptive 90%,embarrassment,0.0
Adaptive 90%,excitement,0.2689075630252101
Adaptive 90%,fear,0.584070796460177
Adaptive 90%,gratitude,0.9181286549707602
Adaptive 90%,joy,0.45454545454545453
Adaptive 90%,love,0.7405660377358491
Adaptive 90%,optimism,0.3275862068965517
Adaptive 90%,realization,0.04054054054054054
Adaptive 90%,remorse,0.0
Adaptive 90%,sadness,0.4411764705882353
Adaptive 90%,surprise,0.40414507772020725
Adaptive 95%,admiration,0.7227615965480043
Adaptive 95%,amusement,0.8504854368932039
Adaptive 95%,anger,0.48344370860927155
Adaptive 95%,annoyance,0.24813895781637718
Adaptive 95%,approval,0.44841269841269843
Adaptive 95%,caring,0.47474747474747475
Adaptive 95%,confusion,0.5020576131687243
Adaptive 95%,curiosity,0.5844155844155844
Adaptive 95%,desire,0.4827586206896552
Adaptive 95%,disappointment,0.06369426751592357
Adaptive 95%,disapproval,0.4381443298969072
Adaptive 95%,disgust,0.379746835443038
Adaptive 95%,embarrassment,0.0
Adaptive 95%,excitement,0.43356643356643354
Adaptive 95%,fear,0.6818181818181818
Adaptive 95%,gratitude,0.9184549356223176
Adaptive 95%,joy,0.5680933852140078
Adaptive 95%,love,0.8109243697478992
Adaptive 95%,optimism,0.49454545454545457
Adaptive 95%,realization,0.18518518518518517
Adaptive 95%,remorse,0.4523809523809524
Adaptive 95%,sadness,0.5478260869565217
Adaptive 95%,surprise,0.5387755102040817
Adaptive 99%,admiration,0.7276507276507277
Adaptive 99%,amusement,0.8523985239852399
Adaptive 99%,anger,0.5490196078431373
Adaptive 99%,annoyance,0.3829787234042553
Adaptive 99%,approval,0.5200698080279232
Adaptive 99%,caring,0.48826291079812206
Adaptive 99%,confusion,0.5161290322580645
Adaptive 99%,curiosity,0.6588693957115009
Adaptive 99%,desire,0.546875
Adaptive 99%,disappointment,0.2057142857142857
Adaptive 99%,disapproval,0.4908256880733945
Adaptive 99%,disgust,0.4888888888888889
Adaptive 99%,embarrassment,0.35555555555555557
Adaptive 99%,excitement,0.44871794871794873
Adaptive 99%,fear,0.6754966887417219
Adaptive 99%,gratitude,0.9224137931034483
Adaptive 99%,joy,0.6236559139784946
Adaptive 99%,love,0.8198757763975155
Adaptive 99%,optimism,0.5612903225806452
Adaptive 99%,realization,0.21176470588235294
Adaptive 99%,remorse,0.5981308411214953
Adaptive 99%,sadness,0.5910931174089069
Adaptive 99%,surprise,0.6007604562737643
Mixed Conservative,admiration,0.714902807775378
Mixed Conservative,amusement,0.85
Mixed Conservative,anger,0.5159235668789809
Mixed Conservative,annoyance,0.23857868020304568
Mixed Conservative,approval,0.4780114722753346
Mixed Conservative,caring,0.5023696682464455
Mixed Conservative,confusion,0.52
Mixed Conservative,curiosity,0.6
Mixed Conservative,desire,0.47863247863247865
Mixed Conservative,disappointment,0.1111111111111111
Mixed Conservative,disapproval,0.453125
Mixed Conservative,disgust,0.3875
Mixed Conservative,embarrassment,0.10256410256410256
Mixed Conservative,excitement,0.3829787234042553
Mixed Conservative,fear,0.6714285714285714
Mixed Conservative,gratitude,0.9202279202279202
Mixed Conservative,joy,0.544
Mixed Conservative,love,0.8218029350104822
Mixed Conservative,optimism,0.4679245283018868
Mixed Conservative,realization,0.18404907975460122
Mixed Conservative,remorse,0.5217391304347826
Mixed Conservative,sadness,0.5690376569037657
Mixed Conservative,surprise,0.5748031496062992
Mixed Aggressive,admiration,0.6976217440543602
Mixed Aggressive,amusement,0.83399209486166
Mixed Aggressive,anger,0.38636363636363635
Mixed Aggressive,annoyance,0.12138728323699421
Mixed Aggressive,approval,0.32882882882882886
Mixed Aggressive,caring,0.43243243243243246
Mixed Aggressive,confusion,0.39631336405529954
Mixed Aggressive,curiosity,0.3763440860215054
Mixed Aggressive,desire,0.28
Mixed Aggressive,disappointment,0.026143790849673203
Mixed Aggressive,disapproval,0.23270440251572327
Mixed Aggressive,disgust,0.27972027972027974
Mixed Aggressive,embarrassment,0.0
Mixed Aggressive,excitement,0.2926829268292683
Mixed Aggressive,fear,0.6324786324786325
Mixed Aggressive,gratitude,0.9186046511627907
Mixed Aggressive,joy,0.4423963133640553
Mixed Aggressive,love,0.7730337078651686
Mixed Aggressive,optimism,0.314410480349345
Mixed Aggressive,realization,0.09210526315789473
Mixed Aggressive,remorse,0.0
Mixed Aggressive,sadness,0.45933014354066987
Mixed Aggressive,surprise,0.47706422018348627
